id;id_belanja;detail;harga;satuan
1;1;Uang Makan Golongan IV/Setara;41000;Orang/Hari
2;1;Uang Makan Golongan III/Setara;37000;Orang/Hari
3;1;Uang Makan Golongan II dan I/Setara;35000;Orang/Hari
4;2;Uang Lembur Golongan IV;25000;Orang/Jam
5;2;Uang Lembur Golongan III;20000;Orang/Jam
6;2;Uang Lembur Golongan II;17000;Orang/Jam
7;2;Uang Lembur Golongan I;13000;Orang/Jam
8;2;Konsumsi Lembur;30000;Orang/Hari
9;3;Konsumsi Rapat Makan;30000;Orang/Kali
10;3;Konsumsi Rapat Kudapan;15000;Orang/Kali
11;3;Jamuan Tamu Prasmanan;90000;Orang/Kali
12;4;Konsumsi Acara Makan Panitia;30000;Orang/Kali
13;4;Konsumsi Acara Kudapan Panitia;15000;Orang/Kali
14;4;Konsumsi Acara Konsumsi Wisudawan dan Orang Tua Wisudawan;30000;Orang/Kali
15;4;Konsumsi Acara Prasmanan ;90000;Orang/Kali
16;5;Meeting UNS Inn Paket Halfday;191000;Orang/Paket
17;5;Meeting UNS Inn Paket Fullday;263000;Orang/Paket
18;5;Meeting UNS Inn Paket Fullboard;675000;Orang/Paket
19;6;Meeting Luar UNS Inn Paket Halfday: Aceh;300000;Orang/Paket
20;6;Meeting Luar UNS Inn Paket Halfday: Sumatera Utara;178000;Orang/Paket
21;6;Meeting Luar UNS Inn Paket Halfday: Riau;185000;Orang/Paket
22;6;Meeting Luar UNS Inn Paket Halfday: Kepulauan Riau;227000;Orang/Paket
23;6;Meeting Luar UNS Inn Paket Halfday: Jambi;215000;Orang/Paket
24;6;Meeting Luar UNS Inn Paket Halfday: Sumatera Barat;178000;Orang/Paket
25;6;Meeting Luar UNS Inn Paket Halfday: Sumatera Selatan;218000;Orang/Paket
26;6;Meeting Luar UNS Inn Paket Halfday: Lampung;220000;Orang/Paket
27;6;Meeting Luar UNS Inn Paket Halfday: Bengkulu;214000;Orang/Paket
28;6;Meeting Luar UNS Inn Paket Halfday: Bangka Belitung;299000;Orang/Paket
29;6;Meeting Luar UNS Inn Paket Halfday: Banten;330000;Orang/Paket
30;6;Meeting Luar UNS Inn Paket Halfday: Jawa Barat ;331000;Orang/Paket
31;6;Meeting Luar UNS Inn Paket Halfday: D.K.I. Jakarta;354000;Orang/Paket
32;6;Meeting Luar UNS Inn Paket Halfday: Jawa Tengah;191000;Orang/Paket
33;6;Meeting Luar UNS Inn Paket Halfday: D.I. Yogyakarta;210000;Orang/Paket
34;6;Meeting Luar UNS Inn Paket Halfday: Jawa Timur;338000;Orang/Paket
35;6;Meeting Luar UNS Inn Paket Halfday: Bali;330000;Orang/Paket
36;6;Meeting Luar UNS Inn Paket Halfday: Nusa Tenggara Barat;317000;Orang/Paket
37;6;Meeting Luar UNS Inn Paket Halfday: Nusa Tenggara Timur;271000;Orang/Paket
38;6;Meeting Luar UNS Inn Paket Halfday: Kalimantan Barat;250000;Orang/Paket
39;6;Meeting Luar UNS Inn Paket Halfday: Kalimantan Tengah;242000;Orang/Paket
40;6;Meeting Luar UNS Inn Paket Halfday: Kalimantan Selatan;200000;Orang/Paket
41;6;Meeting Luar UNS Inn Paket Halfday: Kalimantan Timu;207000;Orang/Paket
42;6;Meeting Luar UNS Inn Paket Halfday: Kalimantan Utara;207000;Orang/Paket
43;6;Meeting Luar UNS Inn Paket Halfday: Sulawesi Utara;189000;Orang/Paket
44;6;Meeting Luar UNS Inn Paket Halfday: Gorontalo;175000;Orang/Paket
45;6;Meeting Luar UNS Inn Paket Halfday: Sulawesi Barat;235000;Orang/Paket
46;6;Meeting Luar UNS Inn Paket Halfday: Sulawesi Selatan;206000;Orang/Paket
47;6;Meeting Luar UNS Inn Paket Halfday: Sulawesi Tengah;260000;Orang/Paket
48;6;Meeting Luar UNS Inn Paket Halfday: Sulawesi Tenggara;225000;Orang/Paket
49;6;Meeting Luar UNS Inn Paket Halfday: Maluku;265000;Orang/Paket
50;6;Meeting Luar UNS Inn Paket Halfday: Maluku Utara;203000;Orang/Paket
51;6;Meeting Luar UNS Inn Paket Halfday: Papua;293000;Orang/Paket
52;6;Meeting Luar UNS Inn Paket Halfday: Papua Barat;310000;Orang/Paket
53;7;Meeting Luar UNS Inn Paket Fullday: Aceh;370000;Orang/Paket
54;7;Meeting Luar UNS Inn Paket Fullday: Sumatera Utara;275000;Orang/Paket
55;7;Meeting Luar UNS Inn Paket Fullday: Riau;255000;Orang/Paket
56;7;Meeting Luar UNS Inn Paket Fullday: Kepulauan Riau;297000;Orang/Paket
57;7;Meeting Luar UNS Inn Paket Fullday: Jambi;301000;Orang/Paket
58;7;Meeting Luar UNS Inn Paket Fullday: Sumatera Barat;248000;Orang/Paket
59;7;Meeting Luar UNS Inn Paket Fullday: Sumatera Selatan;293000;Orang/Paket
60;7;Meeting Luar UNS Inn Paket Fullday: Lampung;290000;Orang/Paket
61;7;Meeting Luar UNS Inn Paket Fullday: Bengkulu;284000;Orang/Paket
62;7;Meeting Luar UNS Inn Paket Fullday: Bangka Belitung;385000;Orang/Paket
63;7;Meeting Luar UNS Inn Paket Fullday: Banten;425000;Orang/Paket
64;7;Meeting Luar UNS Inn Paket Fullday: Jawa Barat ;401000;Orang/Paket
65;7;Meeting Luar UNS Inn Paket Fullday: D.K.I. Jakarta;433000;Orang/Paket
66;7;Meeting Luar UNS Inn Paket Fullday: Jawa Tengah;263000;Orang/Paket
67;7;Meeting Luar UNS Inn Paket Fullday: D.I. Yogyakarta;310000;Orang/Paket
68;7;Meeting Luar UNS Inn Paket Fullday: Jawa Timur;408000;Orang/Paket
69;7;Meeting Luar UNS Inn Paket Fullday: Bali;441000;Orang/Paket
