id;id_unit;id_tahun;pagu;tw1;tw2;tw3;tw4
1;27;1;150053100;23950000;88003100;19050000;19050000
2;17;1;305600000;169500000;123100000;6500000;6500000
3;28;1;139443000;26550000;39000000;36946500;36946500
4;20;1;247955000;30450000;122364000;47570500;47570500
5;21;1;192401500;19898000;31393000;70555250;70555250
6;10;1;155708000;26550000;30143000;49507500;49507500
7;22;1;200950000;1600000;67000000;66175000;66175000
8;18;1;104970000;21110000;30710000;26575000;26575000
9;19;1;212141514;82100000;105025000;12508257;12508257
10;16;1;266600000;25010000;152190000;44700000;44700000
11;23;1;141050000;30000000;15000000;48025000;48025000
12;25;1;156200000;60200000;48000000;24000000;24000000
13;15;1;225175000;45100000;90000000;45037500;45037500
14;14;1;171331527;67145000;87986527;8100000;8100000
15;13;1;192840000;52500000;117940000;11200000;11200000
16;12;1;275439000;97350000;79580000;49254500;49254500
17;26;1;183714200;17935000;115372000;25203600;25203600
18;2;1;287773360;14800000;201480400;35746480;35746480
19;29;1;91250000;31410000;49616000;5112000;5112000
20;7;1;77812400;1928100;13628100;31128100;31128100
21;9;1;120800000;17800000;56000000;23500000;23500000
22;8;1;192100000;17935000;15000000;79582500;79582500
23;11;1;166600000;6400000;71908000;44146000;44146000
24;30;1;77587900;8165000;40670500;14376200;14376200
25;24;1;256932500;45100000;90000000;60916250;60916250
26;3;1;441888000;112403000;182525000;73480000;73480000
27;6;1;248573500;9524000;82873000;78088250;78088250
28;5;1;441888000;112403000;182525000;73480000;73480000
